p,q,mean_absorption_time,mean_first_hit_time,mean_tail_frequency,mean_entrenchment_degree,mean_max_nontrue_formula_frequency,mean_true_world_formula_frequency,runs_reaching_absorption,runs_reaching_first_hit
0.12,0.01,13.511,9.458,1.0,10.107,0.06877126669336722,0.23117100971979118,1000,1000
0.12,0.02,31.113,21.187,1.0,6.878,0.07630815370178104,0.1659438598639643,1000,1000
0.12,0.03,50.233,34.788,1.0,5.673,0.08408416670359006,0.14616061389093668,1000,1000
0.12,0.04,74.518,48.496,1.0,5.135,0.09201963596382357,0.13973894984202986,1000,1000
0.12,0.05,107.579,69.109,1.0,4.573,0.0991074334120097,0.13345240704935332,1000,1000
0.12,0.06,159.613,103.552,1.0,4.5,0.10486114587392623,0.1313042603795905,1000,1000
0.12,0.07,226.699,140.742,1.0,4.26,0.11193518136549707,0.1320530254799886,1000,1000
0.12,0.08,353.065,234.345,1.0,4.224,0.11687071949817698,0.13225442269649004,1000,1000
0.12,0.09,621.397,432.212,1.0,3.966,0.12012881846165711,0.12951888001359935,1000,1000
0.12,0.10,1296.375,867.441,1.0,3.967,0.12360262750865462,0.12957999055234523,1000,1000
0.12,0.11,4603.27,3417.243,1.0,3.939,0.12450073751879381,0.12718583666921182,1000,1000
0.13,0.01,12.169,9.023,1.0,10.71,0.06893019807285627,0.24437900260368076,1000,1000
0.13,0.02,26.774,18.379,1.0,7.213,0.07725543961736511,0.17624305504632787,1000,1000
0.13,0.03,42.934,29.177,1.0,6.184,0.0866369397340562,0.15846663609089154,1000,1000
0.13,0.04,65.671,41.965,1.0,5.339,0.0938170525400239,0.14544865874482407,1000,1000
0.13,0.05,89.947,59.124,1.0,5.178,0.10122576144922081,0.14405766001418066,1000,1000
0.13,0.06,128.542,80.275,1.0,4.763,0.10890677602750841,0.14163201572502238,1000,1000
0.13,0.07,182.112,113.772,1.0,4.741,0.11545966619330116,0.14141910893184842,1000,1000
0.13,0.08,250.935,159.327,1.0,4.527,0.12162275361866916,0.1418086311719769,1000,1000
0.13,0.09,385.112,257.543,1.0,4.27,0.12665283011890832,0.14130051030943547,1000,1000
0.13,0.10,659.08,448.062,1.0,4.277,0.1304890787485685,0.14017841287758773,1000,1000
0.13,0.11,1367.37,974.695,1.0,4.071,0.13394247563386982,0.14012614302036533,1000,1000
0.13,0.12,4624.221,3473.5,1.0,4.003,0.13566370290585528,0.1385297822367144,1000,1000
